Week,Taylor Swift: (United States),Kim Kardashian: (United States),covid19: (United States)
2020-05-10,6,8,16
2020-05-17,10,8,14
2020-05-24,8,8,12
2020-05-31,5,6,9
2020-06-07,5,7,9
2020-06-14,5,7,10
2020-06-21,5,7,11
2020-06-28,5,9,11
2020-07-05,5,10,9
2020-07-12,5,7,9
2020-07-19,33,27,8
2020-07-26,26,14,7
2020-08-02,13,9,6
2020-08-09,10,8,5
2020-08-16,9,6,5
2020-08-23,8,7,4
2020-08-30,8,6,4
